Display,Topic,Type,Answer Type,PMI System,PMI Code,Parent code,Date of Last Update
"Skin condition (e.g., eczema, psoriasis)",Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_SkinCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Vision Conditions:,Health Conditions,Topic,,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_VisionCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Acid reflux/GERD,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DigestiveCondition_AcidReflux,DiagnosedHealthCondition_DigestiveCondition,4/24/2017
Crohn's disease,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DigestiveCondition_CrohnsDisease,DiagnosedHealthCondition_DigestiveCondition,4/24/2017
Diverticulitis,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DigestiveCondition_Diverticulitis,DiagnosedHealthCondition_DigestiveCondition,4/24/2017
Irritable bowel syndrome (IBS),Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DigestiveCondition_IrritableBowelSyndrome,DiagnosedHealthCondition_DigestiveCondition,4/24/2017
Ulcerative colitis,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DigestiveCondition_UlcerativeColitis,DiagnosedHealthCondition_DigestiveCondition,4/24/2017
Hyperthyroidism,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,EndocrineCondition_Hyperthyroidism,DiagnosedHealthCondition_EndocrineCondition,4/24/2017
Hypothyroidism,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,EndocrineCondition_Hypothyroidism,DiagnosedHealthCondition_EndocrineCondition,4/24/2017
Other/unknown diabetes (This includes gestational diabetes (diabetes during pregnancy) and borderline diabetes (pre-diabetes).),Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,EndocrineCondition_OtherDiabetes,DiagnosedHealthCondition_EndocrineCondition,4/24/2017
Other or unknown thyroid condition,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,EndocrineCondition_OtherThyroidCondition,DiagnosedHealthCondition_EndocrineCondition,4/24/2017
"Type 1 diabetes (Type 1 diabetics do not produce enough insulin on their own, so they have get insulin injections. Type 1 diabetes used to be called juvenile onset diabetes.)",Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,EndocrineCondition_Type1Diabetes,DiagnosedHealthCondition_EndocrineCondition,4/24/2017
"Type 2 diabetes (Type 1 diabetics do not produce enough insulin on their own, so they have get insulin injections. Type 1 diabetes used to be called juvenile onset diabetes.)",Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,EndocrineCondition_Type2Diabetes,DiagnosedHealthCondition_EndocrineCondition,4/24/2017
Health Conditions,Health Conditions,Topic,,http://terminology.pmi-ops.org/CodeSystem/ppi,FamilyMembersDiagnosed_DiagnosedHealthCondition,FamilyHistory_FamilyMembersDiagnosed,4/24/2017
Kidney disease,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,KidneyCondition_KidneyDisease,DiagnosedHealthCondition_KidneyCondition,4/24/2017
Kidney stones,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,KidneyCondition_KidneyStones,DiagnosedHealthCondition_KidneyCondition,4/24/2017
Addiction to alcohol or drugs,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,MentalCondition_Addiction,DiagnosedHealthCondition_MentalCondition,4/24/2017
ADHD,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,MentalCondition_ADHD,DiagnosedHealthCondition_MentalCondition,4/24/2017
Anxiety reaction/panic disorder,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,MentalCondition_AnxietyPanic,DiagnosedHealthCondition_MentalCondition,4/24/2017
Bipolar disorder,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,MentalCondition_Bipolar,DiagnosedHealthCondition_MentalCondition,4/24/2017
Depression,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,MentalCondition_Depression,DiagnosedHealthCondition_MentalCondition,4/24/2017
Schizophrenia,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,MentalCondition_Schizophrenia,DiagnosedHealthCondition_MentalCondition,4/24/2017
Amyotrophic lateral sclerosis (Lou Gehrig’s disease),Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,NervousCondition_AmyotrophicLateralSclerosis,DiagnosedHealthCondition_NervousCondition,4/24/2017
"Dementia (includes Alzheimer's, vascular, etc.)",Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,NervousCondition_Dementia,DiagnosedHealthCondition_NervousCondition,4/24/2017
Epilepsy/seizure,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,NervousCondition_EpilepsySeizure,DiagnosedHealthCondition_NervousCondition,4/24/2017
Migraine headaches,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,NervousCondition_MigraineHeadaches,DiagnosedHealthCondition_NervousCondition,4/24/2017
Multiple sclerosis,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,NervousCondition_MultipleSclerosis,DiagnosedHealthCondition_NervousCondition,4/24/2017
Muscular dystrophy,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,NervousCondition_MuscularDystrophy,DiagnosedHealthCondition_NervousCondition,4/24/2017
Other types of headaches,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,NervousCondition_OtherHeadaches,DiagnosedHealthCondition_NervousCondition,4/24/2017
Parkinson's disease,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,NervousCondition_Parkinsons,DiagnosedHealthCondition_NervousCondition,4/24/2017
Asthma,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,RespiratoryCondition_Asthma,DiagnosedHealthCondition_RespiratoryCondition,4/24/2017
"Chronic lung disease (COPD, emphysema or bronchitis)",Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,RespiratoryCondition_ChronicLungDisease,DiagnosedHealthCondition_RespiratoryCondition,4/24/2017
Sleep apnea,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,RespiratoryCondition_SleepApnea,DiagnosedHealthCondition_RespiratoryCondition,4/24/2017
Fibromyalgia,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SkeletalMuscularCondition_Fibromyalgia,DiagnosedHealthCondition_SkeletalMuscularCondition,4/24/2017
Gout,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SkeletalMuscularCondition_Gout,DiagnosedHealthCondition_SkeletalMuscularCondition,4/24/2017
Osteoarthritis,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SkeletalMuscularCondition_Osteoarthritis,DiagnosedHealthCondition_SkeletalMuscularCondition,4/24/2017
Osteoporosis,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SkeletalMuscularCondition_Osteoporosis,DiagnosedHealthCondition_SkeletalMuscularCondition,4/24/2017
Rheumatoid arthritis,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SkeletalMuscularCondition_RheumatoidArthritis,DiagnosedHealthCondition_SkeletalMuscularCondition,4/24/2017
Spine muscle or bone disorders,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SkeletalMuscularCondition_SpineMuscleBone,DiagnosedHealthCondition_SkeletalMuscularCondition,4/24/2017
Systemic Lupus,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SkeletalMuscularCondition_SystemicLupus,DiagnosedHealthCondition_SkeletalMuscularCondition,4/24/2017
Glaucoma,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,VisionCondition_Glaucoma,DiagnosedHealthCondition_VisionCondition,4/24/2017
Macular degeneration,Health Conditions,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,VisionCondition_MacularDegeneration,DiagnosedHealthCondition_VisionCondition,4/24/2017
Do you have a daughter who has ever been diagnosed with any other health conditions?,Child History,Question,boolean,http://terminology.pmi-ops.org/CodeSystem/ppi,ChildHistory_DaughterDiagnosisHistory,FamilyHistory_ChildHistory,4/24/2017
Do you have a son who has ever been diagnosed with any other health conditions?,Child History,Question,boolean,http://terminology.pmi-ops.org/CodeSystem/ppi,ChildHistory_SonDiagnosisHistory,FamilyHistory_ChildHistory,4/24/2017
Bladder cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCancerCondition_BladderCancer,DiagnosedHealthCondition_DaughterCancerCondition,4/24/2017
Blood or soft tissue cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCancerCondition_BloodCancer,DiagnosedHealthCondition_DaughterCancerCondition,4/24/2017
Bone cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCancerCondition_BoneCancer,DiagnosedHealthCondition_DaughterCancerCondition,4/24/2017
Brain cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCancerCondition_BrainCancer,DiagnosedHealthCondition_DaughterCancerCondition,4/24/2017
Breast cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCancerCondition_BreastCancer,DiagnosedHealthCondition_DaughterCancerCondition,4/24/2017
Cervical cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCancerCondition_CervicalCancer,DiagnosedHealthCondition_DaughterCancerCondition,4/24/2017
Colon cancer/Rectal cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCancerCondition_ColonRectalCancer,DiagnosedHealthCondition_DaughterCancerCondition,4/24/2017
Endocrine cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCancerCondition_EndocrineCancer,DiagnosedHealthCondition_DaughterCancerCondition,4/24/2017
Endometrial cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCancerCondition_EndometrialCancer,DiagnosedHealthCondition_DaughterCancerCondition,4/24/2017
Esophageal cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCancerCondition_EsophagealCancer,DiagnosedHealthCondition_DaughterCancerCondition,4/24/2017
Eye cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCancerCondition_EyeCancer,DiagnosedHealthCondition_DaughterCancerCondition,4/24/2017
"Head and neck (This includes cancers of the mouth, sinuses, nose, or throat. This does not include brain cancer.)",Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCancerCondition_HeadNeckCancer,DiagnosedHealthCondition_DaughterCancerCondition,4/24/2017
Kidney cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCancerCondition_KidneyCancer,DiagnosedHealthCondition_DaughterCancerCondition,4/24/2017
Lung cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCancerCondition_LungCancer,DiagnosedHealthCondition_DaughterCancerCondition,4/24/2017
Other cancer (Please specify: (free text answer)),Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCancerCondition_OtherCancer,DiagnosedHealthCondition_DaughterCancerCondition,4/24/2017
Ovarian Cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCancerCondition_OvarianCancer,DiagnosedHealthCondition_DaughterCancerCondition,4/24/2017
Pancreatic cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCancerCondition_PancreaticCancer,DiagnosedHealthCondition_DaughterCancerCondition,4/24/2017
Prostate cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCancerCondition_ProstateCancer,DiagnosedHealthCondition_DaughterCancerCondition,4/24/2017
Skin cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCancerCondition_SkinCancer,DiagnosedHealthCondition_DaughterCancerCondition,4/24/2017
Stomach cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCancerCondition_StomachCancer,DiagnosedHealthCondition_DaughterCancerCondition,4/24/2017
Thyroid cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCancerCondition_ThyroidCancer,DiagnosedHealthCondition_DaughterCancerCondition,4/24/2017
Anemia,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCirculatoryCondition_Anemia,DiagnosedHealthCondition_DaughterCirculatoryCondition,4/24/2017
Aortic aneurysm,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCirculatoryCondition_AorticAneurysm,DiagnosedHealthCondition_DaughterCirculatoryCondition,4/24/2017
"Atrial fibrillation (or a-fib) or atrial flutter (or a-flutter). (These conditions cause irregular, often fast, heart beats that can cause poor blood flow. A-fib and a-flutter are not the same as a heart murmur.)",Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCirculatoryCondition_AtrialFibrilation,DiagnosedHealthCondition_DaughterCirculatoryCondition,4/24/2017
Congestive heart failure,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCirculatoryCondition_CongestiveHeartFailure,DiagnosedHealthCondition_DaughterCirculatoryCondition,4/24/2017
Coronary artery/coronary heart disease (included angina),Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCirculatoryCondition_CoronaryArteryHeartDisease,DiagnosedHealthCondition_DaughterCirculatoryCondition,4/24/2017
Heart attack,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCirculatoryCondition_HeartAttack,DiagnosedHealthCondition_DaughterCirculatoryCondition,4/24/2017
Heart Valve Disease,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCirculatoryCondition_HeartValveDisease,DiagnosedHealthCondition_DaughterCirculatoryCondition,4/24/2017
High blood pressure (Hypertension),Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCirculatoryCondition_HighBloodPressure,DiagnosedHealthCondition_DaughterCirculatoryCondition,4/24/2017
High cholesterol,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCirculatoryCondition_HighCholesterol,DiagnosedHealthCondition_DaughterCirculatoryCondition,4/24/2017
Peripheral Vascular Disease,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCirculatoryCondition_PeripheralVascularDisease,DiagnosedHealthCondition_DaughterCirculatoryCondition,4/24/2017
Pulmonary embolism or deep vein thrombosis (DVT),Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCirculatoryCondition_PulmonaryEmbolismThrombosis,DiagnosedHealthCondition_DaughterCirculatoryCondition,4/24/2017
Sickle Cell Disease,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCirculatoryCondition_SickleCellDisease,DiagnosedHealthCondition_DaughterCirculatoryCondition,4/24/2017
Stroke,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCirculatoryCondition_Stroke,DiagnosedHealthCondition_DaughterCirculatoryCondition,4/24/2017
Sudden death,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterCirculatoryCondition_SuddenDeath,DiagnosedHealthCondition_DaughterCirculatoryCondition,4/24/2017
No,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterDiagnosisHistory_No,ChildHistory_DaughterDiagnosisHistory,4/24/2017
I do not have any daughters I am related to by blood.,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterDiagnosisHistory_NoBloodRelatedDaughters,ChildHistory_DaughterDiagnosisHistory,4/24/2017
"If so, which conditions?",Child History,Question,text,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterDiagnosisHistory_WhichConditions,ChildHistory_DaughterDiagnosisHistory,4/24/2017
Yes,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterDiagnosisHistory_Yes,ChildHistory_DaughterDiagnosisHistory,4/24/2017
Acid reflux/GERD,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterDigestiveCondition_AcidReflux,DiagnosedHealthCondition_DaughterDigestiveCondition,4/24/2017
Celiac Disease,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterDigestiveCondition_CeliacDisease,DiagnosedHealthCondition_DaughterDigestiveCondition,4/24/2017
Colon polyps,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterDigestiveCondition_ColonPolyps,DiagnosedHealthCondition_DaughterDigestiveCondition,4/24/2017
Crohn's disease,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterDigestiveCondition_CrohnsDisease,DiagnosedHealthCondition_DaughterDigestiveCondition,4/24/2017
